sda             45,86    6,46   1697,59    409,06     7,24     2,45  13,63  27,48   45,66 1407,62  11,18    37,02    63,37   4,68  24,47
sda            113,00    0,00  27308,00      0,00     0,00     0,00   0,00   0,00   28,46    0,00   3,28   241,66     0,00   8,64  97,60
sda            139,00    0,00  37372,00      0,00     0,00     0,00   0,00   0,00   31,40    0,00   4,37   268,86     0,00   7,08  98,40
sda            144,00    0,00  37892,00      0,00     0,00     0,00   0,00   0,00   29,92    0,00   4,32   263,14     0,00   6,89  99,20
sda            140,00    0,00  37664,00      0,00     0,00     0,00   0,00   0,00   30,23    0,00   4,24   269,03     0,00   7,11  99,60
sda            139,00    0,00  37052,00      0,00     0,00     0,00   0,00   0,00   30,65    0,00   4,21   266,56     0,00   7,17  99,60
sda             82,00    2,00  24568,00     64,00     7,00    14,00   7,87  87,50   17,17   68,00   1,49   299,61    32,00   6,00  50,40
sda             81,00    0,00  21316,00      0,00     0,00     0,00   0,00   0,00    4,25    0,00   0,34   263,16     0,00   3,11  25,20
sda             78,00    0,00  20676,00      0,00     0,00     0,00   0,00   0,00    4,51    0,00   0,35   265,08     0,00   3,23  25,20
sda             80,00    0,00  21616,00      0,00     0,00     0,00   0,00   0,00    4,75    0,00   0,38   270,20     0,00   3,35  26,80
sda             80,00    0,00  21112,00      0,00     0,00     0,00   0,00   0,00    3,65    0,00   0,29   263,90     0,00   2,60  20,80
sda             75,00    2,00  20244,00     20,00     1,00     3,00   1,32  60,00    5,33   30,00   0,46   269,92    10,00   3,95  30,40
sda             66,00   11,00  18640,00     92,00     4,00    11,00   5,71  50,00    6,42   15,64   0,60   282,42     8,36   5,25  40,40
sda             78,00    0,00  20968,00      0,00     0,00     0,00   0,00   0,00    4,77    0,00   0,37   268,82     0,00   3,23  25,20
sda             80,00    0,00  21112,00      0,00     0,00     0,00   0,00   0,00    4,90    0,00   0,39   263,90     0,00   3,40  27,20
sda             76,00    0,00  20244,00      0,00     0,00     0,00   0,00   0,00    5,32    0,00   0,40   266,37     0,00   3,58  27,20
sda             66,00   24,00  17564,00   4240,00     0,00     1,00   0,00   4,00    5,09   22,00   1,18   266,12   176,67   4,49  40,40
sda             72,00    2,00  19544,00     36,00     1,00     7,00   1,37  77,78   11,56   14,00   0,54   271,44    18,00   4,86  36,00
sda             80,00    0,00  21188,00      0,00     0,00     0,00   0,00   0,00    4,10    0,00   0,34   264,85     0,00   2,95  23,60
sda             79,00    0,00  21076,00      0,00     0,00     0,00   0,00   0,00    5,22    0,00   0,40   266,78     0,00   3,54  28,00
sda             74,00    0,00  19584,00      0,00     0,00     0,00   0,00   0,00    6,00    0,00   0,44   264,65     0,00   3,78  28,00
sda             74,00    2,00  19804,00   2048,00     0,00     0,00   0,00   0,00    4,38    2,00   0,47   267,62  1024,00   3,58  27,20
sda             22,00   42,00   4400,00  42300,00     1,00    14,00   4,35  25,00   54,73  464,76 134,94   200,00  1007,14  15,62 100,00
sda             25,00   43,00   6192,00  43776,00     1,00     0,00   3,85   0,00   77,12 1465,02 144,14   247,68  1018,05  14,71 100,00
sda             20,79   40,59   5362,38  41821,78     0,00     0,00   0,00   0,00   74,29 2389,76 144,62   257,90  1030,24  16,13  99,01
sda             26,00   40,00   6956,00  40960,00     0,00     0,00   0,00   0,00   63,54 3382,20 144,40   267,54  1024,00  15,15 100,00
sda             23,00   39,00   6240,00  39680,00     0,00     0,00   0,00   0,00   70,96 3409,64 140,86   271,30  1017,44  16,13 100,00
sda             25,00   45,00   6264,00  46336,00     0,00     0,00   0,00   0,00   64,80 3500,36 143,28   250,56  1029,69  14,29 100,00
sda             22,00   46,00   5844,00  47104,00     0,00     0,00   0,00   0,00   74,91 3337,30 109,12   265,64  1024,00  14,71 100,00
sda             26,00   44,00   6960,00  45056,00     0,00     0,00   0,00   0,00   56,92 3199,27  64,32   267,69  1024,00  14,29 100,00
sda             24,00   44,00   6748,00  42800,00     1,00    10,00   4,00  18,52   71,83 3018,73  20,58   281,17   972,73  14,71 100,00
sda             76,00    1,00  20496,00      4,00     1,00     0,00   1,30   0,00    5,26   52,00   0,45   269,68     4,00   3,79  29,20
sda             80,00    0,00  21108,00      0,00     0,00     0,00   0,00   0,00    4,65    0,00   0,37   263,85     0,00   3,25  26,00
sda             80,00    0,00  21632,00      0,00     0,00     0,00   0,00   0,00    4,25    0,00   0,34   270,40     0,00   3,15  25,20
sda             78,00    0,00  20612,00      0,00     0,00     0,00   0,00   0,00    5,23    0,00   0,41   264,26     0,00   3,49  27,20
sda             78,00    0,00  20728,00      0,00     0,00     0,00   0,00   0,00    4,72    0,00   0,37   265,74     0,00   3,33  26,00
sda             77,00    2,00  20688,00     20,00     1,00     3,00   1,28  60,00    4,73   14,00   0,40   268,68    10,00   3,75  29,60
sda             79,00    0,00  21096,00      0,00     0,00     0,00   0,00   0,00    4,66    0,00   0,36   267,04     0,00   3,09  24,40
sda             78,00    0,00  20628,00      0,00     0,00     0,00   0,00   0,00    4,87    0,00   0,38   264,46     0,00   3,28  25,60
sda             79,00    0,00  20932,00      0,00     0,00     0,00   0,00   0,00    4,81    0,00   0,38   264,96     0,00   3,19  25,20
sda             76,00    0,00  20240,00      0,00     0,00     0,00   0,00   0,00    5,32    0,00   0,42   266,32     0,00   3,79  28,80
sda             76,00    2,00  20496,00     20,00     1,00     3,00   1,30  60,00    5,42   36,00   0,48   269,68    10,00   4,15  32,40
sda             77,00    0,00  20420,00      0,00     0,00     0,00   0,00   0,00    5,45    0,00   0,40   265,19     0,00   3,48  26,80
sda             78,00    0,00  20900,00      0,00     0,00     0,00   0,00   0,00    4,67    0,00   0,36   267,95     0,00   3,33  26,00
sda             80,00    0,00  21348,00      0,00     0,00     0,00   0,00   0,00    4,55    0,00   0,36   266,85     0,00   3,25  26,00
sda             78,00    0,00  20724,00      0,00     0,00     0,00   0,00   0,00    4,97    0,00   0,39   265,69     0,00   3,18  24,80
sda             75,00    2,00  20240,00     20,00     1,00     3,00   1,32  60,00    5,07   32,00   0,44   269,87    10,00   3,95  30,40
sda             78,00    0,00  20996,00      0,00     0,00     0,00   0,00   0,00    4,51    0,00   0,35   269,18     0,00   3,03  23,60
sda             70,00   16,00  18628,00    196,00     0,00     3,00   0,00  15,79    7,66    0,00   0,54   266,11    12,25   3,81  32,80
sda             78,00    0,00  20628,00      0,00     0,00     0,00   0,00   0,00    5,23    0,00   0,41   264,46     0,00   3,59  28,00
sda             78,00    0,00  20712,00      0,00     0,00     0,00   0,00   0,00    5,33    0,00   0,42   265,54     0,00   3,59  28,00
sda             75,00    2,00  20240,00     36,00     1,00     7,00   1,32  77,78    4,69   32,00   0,42   269,87    18,00   3,84  29,60
sda             78,00    0,00  20996,00      0,00     0,00     0,00   0,00   0,00    5,44    0,00   0,42   269,18     0,00   3,64  28,40
sda             78,00    0,00  20792,00      0,00     0,00     0,00   0,00   0,00    5,18    0,00   0,40   266,56     0,00   3,64  28,40
sda             81,00    0,00  21312,00      0,00     0,00     0,00   0,00   0,00    4,35    0,00   0,35   263,11     0,00   3,01  24,40
sda             78,00    0,00  20676,00      0,00     0,00     0,00   0,00   0,00    4,97    0,00   0,39   265,08     0,00   3,44  26,80
sda             73,00    2,00  19808,00     20,00     1,00     3,00   1,35  60,00    4,77   16,00   0,39   271,34    10,00   3,63  27,20
sda             79,00    0,00  21036,00      0,00     0,00     0,00   0,00   0,00    5,22    0,00   0,40   266,28     0,00   3,44  27,20
sda             28,00   40,00   7716,00  40960,00     1,00     0,00   3,45   0,00   53,29  325,00  35,76   275,57  1024,00  11,47  78,00
sda             21,00   45,00   5476,00  46080,00     0,00     0,00   0,00   0,00   70,48  932,27 147,66   260,76  1024,00  15,15 100,00
sda             25,00   42,00   6260,00  43008,00     0,00     0,00   0,00   0,00   65,44 1524,48 145,03   250,40  1024,00  14,93 100,00
sda             21,00   50,00   5496,00  50212,00     0,00     8,00   0,00  13,79   74,29 2467,92 142,52   261,71  1004,24  14,08 100,00
sda             22,00   39,00   5724,00  39936,00     0,00     0,00   0,00   0,00   88,00 3213,74 145,03   260,18  1024,00  16,39 100,00
sda             25,00   45,00   6652,00  46080,00     0,00     0,00   0,00   0,00   60,16 3340,98 142,64   266,08  1024,00  14,29 100,00
