r,b,swpd,livre,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time
1,2,0,5096592,110012,1313768,0,0,433,103,120,383,3,1,86,9,0,21:19:04 2019-05-28
2,2,0,5019608,110028,1351824,0,0,33644,0,1526,2366,48,2,25,24,0,21:19:05 2019-05-28
3,2,0,4942152,110028,1398780,0,0,37428,0,1151,2079,51,1,27,21,0,21:19:06 2019-05-28
1,3,0,4867144,110028,1446980,0,0,38616,0,1143,2043,50,1,27,21,0,21:19:07 2019-05-28
6,0,0,4791516,110032,1493612,0,0,36040,0,1182,1493,53,1,20,25,0,21:19:08 2019-05-28
3,1,0,4721592,110044,1537256,0,0,36368,64,1134,1096,50,2,21,27,0,21:19:09 2019-05-28
1,0,0,4676252,110044,1580060,0,0,22516,0,750,1922,26,1,68,5,0,21:19:10 2019-05-28
1,0,0,4632880,110044,1623164,0,0,21004,0,664,2020,23,1,74,3,0,21:19:11 2019-05-28
2,0,0,4589508,110044,1666484,0,0,21168,0,683,2013,23,1,74,2,0,21:19:12 2019-05-28
0,1,0,4546880,110044,1708796,0,0,21364,0,660,2037,22,1,74,3,0,21:19:13 2019-05-28
1,0,0,4504748,110052,1750328,0,0,20240,20,635,1263,22,1,73,4,0,21:19:14 2019-05-28
2,0,0,4461500,110052,1793204,0,0,20900,0,684,1788,22,2,73,3,0,21:19:15 2019-05-28
1,0,0,4423972,110068,1830664,0,0,18464,92,623,1555,21,1,73,6,0,21:19:16 2019-05-28
0,1,0,4381096,110068,1873288,0,0,21360,0,669,1475,22,1,74,3,0,21:19:17 2019-05-28
1,0,0,4339956,110068,1915760,0,0,20240,0,666,1949,22,1,74,3,0,21:19:18 2019-05-28
1,0,0,4297204,110068,1957660,0,0,20900,0,672,1379,22,1,74,3,0,21:19:19 2019-05-28
0,1,0,4261412,110068,1992116,0,0,17508,4240,629,1487,18,1,74,7,0,21:19:20 2019-05-28
0,1,0,4220148,110076,2033456,0,0,20268,36,651,1443,21,1,73,5,0,21:19:21 2019-05-28
1,0,0,4176528,110076,2076652,0,0,21164,0,720,1797,23,1,73,2,0,21:19:22 2019-05-28
1,0,0,4134784,110076,2118152,0,0,20240,0,663,1781,23,1,74,3,0,21:19:23 2019-05-28
1,0,0,4094636,110076,2158000,0,0,19860,0,667,1911,21,0,74,4,0,21:19:24 2019-05-28
1,2,0,4060232,110104,2192728,0,0,16716,167936,627,1918,18,1,72,9,0,21:19:25 2019-05-28
1,2,0,4049544,110112,2203048,0,0,5064,18492,374,1536,6,0,62,32,0,21:19:26 2019-05-28
0,3,0,4036740,110116,2216052,0,0,6704,63488,424,2366,8,1,64,28,0,21:19:27 2019-05-28
1,2,0,4024400,110120,2228108,0,0,5672,32768,413,1968,7,1,50,43,0,21:19:28 2019-05-28
1,2,0,4011720,110120,2240808,0,0,6368,32768,391,2425,7,1,50,43,0,21:19:29 2019-05-28
1,2,0,3998900,110124,2253272,0,0,6136,59392,409,2466,7,1,67,26,0,21:19:30 2019-05-28
0,2,0,3986300,110124,2265764,0,0,6152,17408,391,1717,6,1,72,22,0,21:19:31 2019-05-28
1,1,0,3973096,110124,2278784,0,0,6652,0,425,2354,8,1,69,23,0,21:19:32 2019-05-28
0,2,0,3958752,110124,2293444,0,0,7308,0,444,2719,8,0,71,20,0,21:19:33 2019-05-28
1,0,0,3942168,110136,2309792,0,0,7872,52,432,1700,8,1,73,18,0,21:19:34 2019-05-28
1,0,0,3898704,110136,2352892,0,0,21012,0,684,1864,22,1,74,3,0,21:19:35 2019-05-28
1,0,0,3855068,110136,2396080,0,0,21156,0,674,1529,23,1,74,2,0,21:19:36 2019-05-28
0,1,0,3812456,110136,2438708,0,0,21368,0,663,1610,22,2,74,3,0,21:19:37 2019-05-28
1,0,0,3771068,110136,2480048,0,0,20240,0,644,1538,21,1,74,4,0,21:19:38 2019-05-28
1,0,0,3729432,110144,2521400,0,0,20240,20,682,1858,23,1,73,4,0,21:19:39 2019-05-28
1,0,0,3685440,110144,2565200,0,0,21624,0,684,1995,22,1,74,3,0,21:19:40 2019-05-28
1,0,0,3642192,110144,2608440,0,0,21108,0,740,1381,24,2,72,3,0,21:19:41 2019-05-28
0,1,0,3600028,110144,2650556,0,0,21004,0,655,1386,22,0,74,3,0,21:19:42 2019-05-28
1,0,0,3558052,110144,2692404,0,0,20780,0,646,1541,22,1,74,3,0,21:19:43 2019-05-28
1,0,0,3516928,110152,2733208,0,0,19700,20,649,2016,21,1,73,5,0,21:19:44 2019-05-28
1,0,0,3474424,110152,2775368,0,0,21168,0,663,1926,22,1,74,3,0,21:19:45 2019-05-28
2,0,0,3433160,110152,2816460,0,0,19856,0,655,1848,22,1,74,4,0,21:19:46 2019-05-28
0,1,0,3389168,110152,2860368,0,0,21748,0,667,1876,23,1,74,2,0,21:19:47 2019-05-28
1,0,0,3347036,110152,2902220,0,0,20900,0,699,1970,22,1,74,3,0,21:19:48 2019-05-28
1,0,0,3306252,110160,2943076,0,0,19584,20,635,1688,22,1,73,5,0,21:19:49 2019-05-28
1,0,0,3263764,110160,2985072,0,0,20908,0,662,1884,22,1,74,3,0,21:19:50 2019-05-28
1,0,0,3222004,110160,3026412,0,0,20232,196,701,1969,21,0,74,4,0,21:19:51 2019-05-28
0,1,0,3182320,110160,3066048,0,0,19580,0,658,1899,21,1,74,4,0,21:19:52 2019-05-28
1,0,0,3140188,110160,3107892,0,0,20908,0,670,1850,23,1,74,3,0,21:19:53 2019-05-28
1,0,0,3098724,110168,3149388,0,0,20244,36,640,1435,22,1,73,5,0,21:19:54 2019-05-28
1,0,0,3055104,110168,3192520,0,0,20956,0,679,1427,22,1,74,3,0,21:19:55 2019-05-28
1,0,0,3013064,110168,3234224,0,0,20620,0,668,1938,22,1,74,3,0,21:19:56 2019-05-28
1,0,0,2970964,110168,3276060,0,0,20728,0,664,1652,22,1,74,3,0,21:19:57 2019-05-28
1,0,0,2927468,110168,3319200,0,0,21012,0,662,1289,22,1,74,3,0,21:19:58 2019-05-28
0,1,0,2886576,110176,3360012,0,0,20772,20,640,1572,22,1,74,4,0,21:19:59 2019-05-28
1,0,0,2843808,110176,3402644,0,0,20624,0,691,1897,22,1,74,3,0,21:20:00 2019-05-28
1,0,0,2802452,110176,3444164,0,0,20244,0,648,1888,22,1,74,4,0,21:20:01 2019-05-28
0,2,0,2790840,110184,3455076,0,0,5628,203776,379,1534,6,1,56,37,0,21:20:02 2019-05-28
1,1,0,2779008,110184,3466536,0,0,5188,32768,388,1086,6,1,60,33,0,21:20:03 2019-05-28
0,3,0,2767616,110188,3478048,0,0,6164,40996,399,1175,6,1,68,25,0,21:20:04 2019-05-28
0,3,0,2755184,110192,3490176,0,0,5780,57344,432,2304,6,1,66,27,0,21:20:05 2019-05-28
1,2,0,2743124,110192,3501916,0,0,5444,32768,435,2414,7,1,51,42,0,21:20:06 2019-05-28
1,3,0,2729668,110192,3515380,0,0,7100,65536,508,1962,8,1,52,40,0,21:20:07 2019-05-28
1,2,0,2718044,110196,3527600,0,0,5884,32768,433,2670,7,1,71,22,0,21:20:08 2019-05-28
0,3,0,2703272,110196,3542128,0,0,7136,32768,420,1396,8,1,56,36,0,21:20:09 2019-05-28
0,3,0,2690220,110196,3554904,0,0,6436,65536,459,2933,7,1,68,25,0,21:20:10 2019-05-28
0,3,0,2678052,110200,3567080,0,0,5852,32768,411,2606,7,1,71,22,0,21:20:11 2019-05-28
0,2,0,2666520,110200,3578248,0,0,5880,51200,417,2215,6,0,71,22,0,21:20:12 2019-05-28
0,2,0,2654060,110200,3590744,0,0,6160,0,373,2176,7,0,71,22,0,21:20:13 2019-05-28
1,1,0,2641788,110200,3603096,0,0,6160,0,399,1894,7,0,70,23,0,21:20:14 2019-05-28
0,2,0,2627984,110200,3616920,0,0,6308,0,383,1822,7,0,72,21,0,21:20:15 2019-05-28
1,0,0,2596396,110212,3648416,0,0,15720,48,624,2156,17,1,73,10,0,21:20:16 2019-05-28
1,0,0,2553428,110212,3691236,0,0,20624,0,646,1098,22,1,74,3,0,21:20:17 2019-05-28
0,1,0,2510520,110212,3733820,0,0,21368,0,684,1902,22,1,74,3,0,21:20:18 2019-05-28
1,0,0,2473024,110212,3774976,0,0,20240,0,658,1702,22,1,76,2,0,21:20:19 2019-05-28
1,0,0,2430396,110212,3816464,0,0,20240,0,679,1951,22,1,74,3,0,21:20:20 2019-05-28
1,0,0,2388016,110220,3858408,0,0,20900,20,658,1612,22,1,74,4,0,21:20:21 2019-05-28
1,0,0,2346644,110220,3898112,0,0,19584,0,686,1989,22,0,74,3,0,21:20:22 2019-05-28
2,1,0,2280160,110220,3963656,0,0,12980,132,584,2094,24,1,69,7,0,21:20:23 2019-05-28
3,0,0,2232896,110220,4010944,0,0,34712,0,1096,988,49,1,36,15,0,21:20:24 2019-05-28
1,0,0,2187012,110220,4056420,0,0,31572,0,994,1859,42,0,43,15,0,21:20:25 2019-05-28
1,0,0,2144648,110228,4098256,0,0,20788,36,671,1932,22,1,74,3,0,21:20:26 2019-05-28
1,0,0,2103432,110228,4139592,0,0,20244,0,648,2070,22,0,74,3,0,21:20:27 2019-05-28
1,1,0,2063284,110228,4179432,0,0,19700,48,653,1526,21,1,74,4,0,21:20:28 2019-05-28
1,0,0,2021012,110228,4221332,0,0,20784,0,682,1599,22,1,74,3,0,21:20:29 2019-05-28
1,0,0,1979392,110228,4262656,0,0,20236,0,655,1534,22,1,74,3,0,21:20:30 2019-05-28
1,0,0,1939368,110236,4302412,0,0,19712,20,615,1494,21,1,73,6,0,21:20:31 2019-05-28
1,0,0,1897112,110236,4344300,0,0,20772,0,636,1515,22,0,75,3,0,21:20:32 2019-05-28
